@RELATION data
@ATTRIBUTE V1 numeric
@ATTRIBUTE V2 numeric
@ATTRIBUTE V3 numeric
@DATA
1,0.5,1
0,0.5,-1
0.985676923076923,0.604658333333333,1
0.014323076923077,0.395341666666667,-1
0.953056153846154,0.703300833333333,1
0.0469438461538461,0.296699166666667,-1
0.903742307692308,0.792253333333333,1
0.0962576923076923,0.207746666666667,-1
0.839954615384615,0.868285833333333,1
0.160045384615385,0.131714166666667,-1
0.764429230769231,0.9287275,1
0.235570769230769,0.0712725,-1
0.680301538461539,0.971564166666667,1
0.319698461538462,0.0284358333333334,-1
0.590978461538462,0.995500833333333,1
0.409021538461538,0.00449916666666665,-1
0.499998461538462,1,1
0.500001538461538,0,-1
0.410894615384615,0.985284166666667,1
0.589105384615385,0.0147158333333333,-1
0.327054615384615,0.952315,1
0.672945384615385,0.047685,-1
0.251593846153846,0.902741666666667,1
0.748406153846154,0.0972583333333333,-1
0.187239230769231,0.83882,1
0.812760769230769,0.16118,-1
0.136230769230769,0.763315,1
0.863769230769231,0.236685,-1
0.100243076923077,0.67938,1
0.899756923076923,0.32062,-1
0.0803361538461538,0.590429166666667,1
0.919663846153846,0.409570833333333,-1
0.0769230769230769,0.499996666666667,1
0.923076923076923,0.500003333333333,-1
0.0897684615384615,0.411595833333333,1
0.910231538461538,0.588404166666667,-1
0.118012307692308,0.328586666666667,1
0.881987692307692,0.671413333333333,-1
0.160218461538462,0.254040833333333,1
0.839781538461538,0.745959166666667,-1
0.21444,0.190638333333333,1
0.78556,0.809361666666667,-1
0.278309230769231,0.14056,1
0.721690769230769,0.85944,-1
0.349138461538462,0.105425,1
0.650861538461538,0.894575,-1
0.424031538461538,0.08623,1
0.575968461538461,0.91377,-1
0.500004615384615,0.0833333333333333,1
0.499995384615385,0.916666666666667,-1
0.574100769230769,0.0964483333333333,1
0.425899230769231,0.903551666666667,-1
0.643510769230769,0.124675833333333,1
0.356489230769231,0.875324166666667,-1
0.705671538461538,0.166549166666667,1
0.294328461538462,0.833450833333333,-1
0.758369230769231,0.2201075,1
0.241630769230769,0.7798925,-1
0.799811538461538,0.282985,1
0.200188461538462,0.717015,-1
0.82869,0.3525125,1
0.17131,0.6474875,-1
0.844219230769231,0.42583,1
0.155780769230769,0.57417,-1
0.846153846153846,0.500005833333333,1
0.153846153846154,0.499994166666667,-1
0.834786153846154,0.572148333333333,1
0.165213846153846,0.427851666666667,-1
0.810919230769231,0.639525,1
0.189080769230769,0.360475,-1
0.775820769230769,0.6996625,1
0.224179230769231,0.3003375,-1
0.731165384615385,0.7504375,1
0.268834615384615,0.2495625,-1
0.678953076923077,0.790151666666667,1
0.321046923076923,0.209848333333333,-1
0.621423076923077,0.817585833333333,1
0.378576923076923,0.182414166666667,-1
0.56096,0.8320375,1
0.43904,0.1679625,-1
0.499994615384615,0.833333333333333,1
0.500005384615385,0.166666666666667,-1
0.440904615384615,0.821819166666667,1
0.559095384615385,0.178180833333333,-1
0.385925384615385,0.798333333333333,1
0.614074615384615,0.201666666666667,-1
0.337063846153846,0.764161666666667,1
0.662936153846154,0.235838333333333,-1
0.296023076923077,0.720966666666667,1
0.703976923076923,0.279033333333333,-1
0.264146923076923,0.670716666666667,1
0.735853076923077,0.329283333333333,-1
0.242377692307692,0.615596666666667,1
0.757622307692308,0.384403333333333,-1
0.231226153846154,0.557910833333333,1
0.768773846153846,0.442089166666667,-1
0.230769230769231,0.499993333333333,1
0.769230769230769,0.500006666666667,-1
0.240659230769231,0.444108333333333,1
0.759340769230769,0.555891666666667,-1
0.260149230769231,0.392364166666667,1
0.739850769230769,0.607635833333333,-1
0.288138461538462,0.346634166666667,1
0.711861538461539,0.653365833333333,-1
0.323227692307692,0.3084875,1
0.676772307692308,0.6915125,-1
0.363783076923077,0.2791375,1
0.636216923076923,0.7208625,-1
0.408014615384615,0.259404166666667,1
0.591985384615385,0.740595833333333,-1
0.454046923076923,0.249694166666667,1
0.545953076923077,0.750305833333333,-1
0.500006153846154,0.25,1
0.499993846153846,0.75,-1
0.544088461538462,0.259913333333333,1
0.455911538461538,0.740086666666667,-1
0.584637692307692,0.278656666666667,1
0.415362307692308,0.721343333333333,-1
0.6202,0.3051275,1
0.3798,0.6948725,-1
0.649584615384615,0.337959166666667,1
0.350415384615385,0.662040833333333,-1
0.671893846153846,0.375580833333333,1
0.328106153846154,0.624419166666667,-1
0.686554615384615,0.416294166666667,1
0.313445384615385,0.583705833333333,-1
0.693329230769231,0.458345833333333,1
0.306670769230769,0.541654166666667,-1
0.692307692307692,0.500005833333333,1
0.307692307692308,0.499994166666667,-1
0.683896153846154,0.539633333333333,1
0.316103846153846,0.460366666666667,-1
0.668783846153846,0.575745,1
0.331216153846154,0.424255,-1
0.647902307692308,0.607068333333333,1
0.352097692307692,0.392931666666667,-1
0.62238,0.632586666666667,1
0.37762,0.367413333333333,-1
0.593480769230769,0.651573333333333,1
0.406519230769231,0.348426666666667,-1
0.562549230769231,0.663605833333333,1
0.437450769230769,0.336394166666667,-1
0.530946923076923,0.668573333333333,1
0.469053076923077,0.331426666666667,-1
0.499994615384615,0.666666666666667,1
0.500005384615385,0.333333333333333,-1
0.470919230769231,0.658355,1
0.529080769230769,0.341645,-1
0.444800769230769,0.644354166666667,1
0.555199230769231,0.355645833333333,-1
0.422536923076923,0.625583333333333,1
0.577463076923077,0.374416666666667,-1
0.404809230769231,0.603115833333333,1
0.595190769230769,0.396884166666667,-1
0.392066153846154,0.578123333333333,1
0.607933846153846,0.421876666666667,-1
0.384513076923077,0.5518175,1
0.615486923076923,0.4481825,-1
0.382116153846154,0.5253975,1
0.617883846153846,0.4746025,-1
0.384615384615385,0.499995,1
0.615384615384615,0.500005,-1
0.391548461538462,0.476625833333333,1
0.608451538461538,0.523374166666667,-1
0.402283846153846,0.456146666666667,1
0.597716153846154,0.543853333333333,-1
0.416055384615385,0.439230833333333,1
0.583944615384615,0.560769166666667,-1
0.432011538461539,0.42634,1
0.567988461538461,0.57366,-1
0.449253846153846,0.417716666666667,1
0.550746153846154,0.582283333333333,-1
0.466886153846154,0.413385,1
0.533113846153846,0.586615,-1
0.484058461538462,0.413159166666667,1
0.515941538461538,0.586840833333333,-1
0.500003076923077,0.416666666666667,1
0.499996923076923,0.583333333333333,-1
0.514071538461538,0.423376666666667,1
0.485928461538462,0.576623333333333,-1
0.52576,0.432635,1
0.47424,0.567365,-1
0.534725384615385,0.443704166666667,1
0.465274615384615,0.556295833333333,-1
0.540796153846154,0.4558075,1
0.459203846153846,0.5441925,-1
0.543973076923077,0.4681725,1
0.456026923076923,0.5318275,-1
0.544418461538462,0.480070833333333,1
0.455581538461538,0.519929166666667,-1
0.542438461538462,0.4908575,1
0.457561538461538,0.5091425,-1
0.538461538461538,0.500001666666667,1
0.461538461538462,0.499998333333333,-1
