           6.5               0  1
          -6.5               0  -1
        6.3138          1.2559  1
       -6.3138         -1.2559  -1
       5.88973         2.43961  1
      -5.88973        -2.43961  -1
       5.24865         3.50704  1
      -5.24865        -3.50704  -1
       4.41941         4.41943  1
      -4.41941        -4.41943  -1
       3.43758         5.14473  1
      -3.43758        -5.14473  -1
       2.34392         5.65877  1
      -2.34392        -5.65877  -1
       1.18272         5.94601  1
      -1.18272        -5.94601  -1
  -2.00000e-05               6  1
   2.00000e-05              -6  -1
      -1.15837         5.82341  1
       1.15837        -5.82341  -1
      -2.24829         5.42778  1
       2.24829        -5.42778  -1
      -3.22928          4.8329  1
       3.22928         -4.8329  -1
      -4.06589         4.06584  1
       4.06589        -4.06584  -1
        -4.729         3.15978  1
         4.729        -3.15978  -1
      -5.19684         2.15256  1
       5.19684        -2.15256  -1
      -5.45563         1.08515  1
       5.45563        -1.08515  -1
          -5.5    -4.00000e-05  1
           5.5     4.00000e-05  -1
      -5.33301        -1.06085  1
       5.33301         1.06085  -1
      -4.96584        -2.05696  1
       4.96584         2.05696  -1
      -4.41716        -2.95151  1
       4.41716         2.95151  -1
      -3.71228        -3.71234  1
       3.71228         3.71234  -1
      -2.88198        -4.31328  1
       2.88198         4.31328  -1
       -1.9612         -4.7349  1
        1.9612          4.7349  -1
      -0.98759        -4.96524  1
       0.98759         4.96524  -1
   6.00000e-05              -5  1
  -6.00000e-05               5  -1
       0.96331        -4.84262  1
      -0.96331         4.84262  -1
       1.86564        -4.50389  1
      -1.86564         4.50389  -1
       2.67373        -4.00141  1
      -2.67373         4.00141  -1
        3.3588        -3.35871  1
       -3.3588         3.35871  -1
       3.89755        -2.60418  1
      -3.89755         2.60418  -1
       4.27297        -1.76985  1
      -4.27297         1.76985  -1
       4.47485        -0.89004  1
      -4.47485         0.89004  -1
           4.5     7.00000e-05  1
          -4.5    -7.00000e-05  -1
       4.35222         0.86578  1
      -4.35222        -0.86578  -1
       4.04195          1.6743  1
      -4.04195         -1.6743  -1
       3.58567         2.39595  1
      -3.58567        -2.39595  -1
       3.00515         3.00525  1
      -3.00515        -3.00525  -1
       2.32639         3.48182  1
      -2.32639        -3.48182  -1
        1.5785         3.81103  1
       -1.5785        -3.81103  -1
       0.79248         3.98445  1
      -0.79248        -3.98445  -1
  -7.00000e-05               4  1
   7.00000e-05              -4  -1
      -0.76824         3.86183  1
       0.76824        -3.86183  -1
      -1.48297            3.58  1
       1.48297           -3.58  -1
      -2.11817         3.16994  1
       2.11817        -3.16994  -1
       -2.6517          2.6516  1
