;Two-Spirals Benchmark
;Generated: Fri Feb  3 13:56:24 2006
;Density:   1
;Radius:    6.50

;Program by: Matt White  (mwhite+@cmu.edu)
;Benchmark by: Alexis Wieland of MITRE Corporation
;  Any questions should be directed to neural-bench@cs.cmu.edu.

$SETUP

PROTOCOL: IO;
OFFSET: 0;
INPUTS: 2;
OUTPUTS: 1;

IN [1]: CONT {6.50,-6.50};
IN [2]: CONT {6.50,-6.50};

OUT [1]: BINARY;


$TRAIN

 6.50000,  0.00000  =>  +;
-6.50000, -0.00000  =>  -;
 6.31380,  1.25590  =>  +;
-6.31380, -1.25590  =>  -;
 5.88973,  2.43961  =>  +;
-5.88973, -2.43961  =>  -;
 5.24865,  3.50704  =>  +;
-5.24865, -3.50704  =>  -;
 4.41941,  4.41943  =>  +;
-4.41941, -4.41943  =>  -;
 3.43758,  5.14473  =>  +;
-3.43758, -5.14473  =>  -;
 2.34392,  5.65877  =>  +;
-2.34392, -5.65877  =>  -;
 1.18272,  5.94601  =>  +;
-1.18272, -5.94601  =>  -;
-0.00002,  6.00000  =>  +;
 0.00002, -6.00000  =>  -;
-1.15837,  5.82341  =>  +;
 1.15837, -5.82341  =>  -;
-2.24829,  5.42778  =>  +;
 2.24829, -5.42778  =>  -;
-3.22928,  4.83290  =>  +;
 3.22928, -4.83290  =>  -;
-4.06589,  4.06584  =>  +;
 4.06589, -4.06584  =>  -;
-4.72900,  3.15978  =>  +;
 4.72900, -3.15978  =>  -;
-5.19684,  2.15256  =>  +;
 5.19684, -2.15256  =>  -;
-5.45563,  1.08515  =>  +;
 5.45563, -1.08515  =>  -;
-5.50000, -0.00004  =>  +;
 5.50000,  0.00004  =>  -;
-5.33301, -1.06085  =>  +;
 5.33301,  1.06085  =>  -;
-4.96584, -2.05696  =>  +;
 4.96584,  2.05696  =>  -;
-4.41716, -2.95151  =>  +;
 4.41716,  2.95151  =>  -;
-3.71228, -3.71234  =>  +;
 3.71228,  3.71234  =>  -;
-2.88198, -4.31328  =>  +;
 2.88198,  4.31328  =>  -;
-1.96120, -4.73490  =>  +;
 1.96120,  4.73490  =>  -;
-0.98759, -4.96524  =>  +;
 0.98759,  4.96524  =>  -;
 0.00006, -5.00000  =>  +;
-0.00006,  5.00000  =>  -;
 0.96331, -4.84262  =>  +;
-0.96331,  4.84262  =>  -;
 1.86564, -4.50389  =>  +;
-1.86564,  4.50389  =>  -;
 2.67373, -4.00141  =>  +;
-2.67373,  4.00141  =>  -;
 3.35880, -3.35871  =>  +;
-3.35880,  3.35871  =>  -;
 3.89755, -2.60418  =>  +;
-3.89755,  2.60418  =>  -;
 4.27297, -1.76985  =>  +;
-4.27297,  1.76985  =>  -;
 4.47485, -0.89004  =>  +;
-4.47485,  0.89004  =>  -;
 4.50000,  0.00007  =>  +;
-4.50000, -0.00007  =>  -;
 4.35222,  0.86578  =>  +;
-4.35222, -0.86578  =>  -;
 4.04195,  1.67430  =>  +;
-4.04195, -1.67430  =>  -;
 3.58567,  2.39595  =>  +;
-3.58567, -2.39595  =>  -;
 3.00515,  3.00525  =>  +;
-3.00515, -3.00525  =>  -;
 2.32639,  3.48182  =>  +;
-2.32639, -3.48182  =>  -;
 1.57850,  3.81103  =>  +;
-1.57850, -3.81103  =>  -;
 0.79248,  3.98445  =>  +;
-0.79248, -3.98445  =>  -;
-0.00007,  4.00000  =>  +;
 0.00007, -4.00000  =>  -;
-0.76824,  3.86183  =>  +;
 0.76824, -3.86183  =>  -;
-1.48297,  3.58000  =>  +;
 1.48297, -3.58000  =>  -;
-2.11817,  3.16994  =>  +;
 2.11817, -3.16994  =>  -;
-2.65170,  2.65160  =>  +;
 2.65170, -2.65160  =>  -;
-3.06609,  2.04860  =>  +;
 3.06609, -2.04860  =>  -;
-3.34909,  1.38716  =>  +;
 3.34909, -1.38716  =>  -;
-3.49406,  0.69493  =>  +;
 3.49406, -0.69493  =>  -;
-3.50000, -0.00008  =>  +;
 3.50000,  0.00008  =>  -;
-3.37143, -0.67070  =>  +;
 3.37143,  0.67070  =>  -;
-3.11806, -1.29163  =>  +;
 3.11806,  1.29163  =>  -;
-2.75420, -1.84039  =>  +;
 2.75420,  1.84039  =>  -;
-2.29804, -2.29815  =>  +;
 2.29804,  2.29815  =>  -;
-1.77082, -2.65035  =>  +;
 1.77082,  2.65035  =>  -;
-1.19581, -2.88715  =>  +;
 1.19581,  2.88715  =>  -;
-0.59739, -3.00367  =>  +;
 0.59739,  3.00367  =>  -;
 0.00008, -3.00000  =>  +;
-0.00008,  3.00000  =>  -;
 0.57315, -2.88104  =>  +;
-0.57315,  2.88104  =>  -;
 1.10029, -2.65612  =>  +;
-1.10029,  2.65612  =>  -;
 1.56260, -2.33847  =>  +;
-1.56260,  2.33847  =>  -;
 1.94460, -1.94449  =>  +;
-1.94460,  1.94449  =>  -;
 2.23462, -1.49303  =>  +;
-2.23462,  1.49303  =>  -;
 2.42521, -1.00447  =>  +;
-2.42521,  1.00447  =>  -;
 2.51328, -0.49985  =>  +;
-2.51328,  0.49985  =>  -;
 2.50000,  0.00007  =>  +;
-2.50000, -0.00007  =>  -;
 2.39065,  0.47560  =>  +;
-2.39065, -0.47560  =>  -;
 2.19419,  0.90894  =>  +;
-2.19419, -0.90894  =>  -;
 1.92273,  1.28482  =>  +;
-1.92273, -1.28482  =>  -;
 1.59094,  1.59104  =>  +;
-1.59094, -1.59104  =>  -;
 1.21525,  1.81888  =>  +;
-1.21525, -1.81888  =>  -;
 0.81314,  1.96327  =>  +;
-0.81314, -1.96327  =>  -;
 0.40231,  2.02288  =>  +;
-0.40231, -2.02288  =>  -;
-0.00007,  2.00000  =>  +;
 0.00007, -2.00000  =>  -;
-0.37805,  1.90026  =>  +;
 0.37805, -1.90026  =>  -;
-0.71759,  1.73225  =>  +;
 0.71759, -1.73225  =>  -;
-1.00702,  1.50700  =>  +;
 1.00702, -1.50700  =>  -;
-1.23748,  1.23739  =>  +;
 1.23748, -1.23739  =>  -;
-1.40314,  0.93748  =>  +;
 1.40314, -0.93748  =>  -;
-1.50133,  0.62181  =>  +;
 1.50133, -0.62181  =>  -;
-1.53249,  0.30477  =>  +;
 1.53249, -0.30477  =>  -;
-1.50000, -0.00006  =>  +;
 1.50000,  0.00006  =>  -;
-1.40987, -0.28049  =>  +;
 1.40987,  0.28049  =>  -;
-1.27031, -0.52624  =>  +;
 1.27031,  0.52624  =>  -;
-1.09128, -0.72923  =>  +;
 1.09128,  0.72923  =>  -;
-0.88385, -0.88392  =>  +;
 0.88385,  0.88392  =>  -;
-0.65970, -0.98740  =>  +;
 0.65970,  0.98740  =>  -;
-0.43048, -1.03938  =>  +;
 0.43048,  1.03938  =>  -;
-0.20724, -1.04209  =>  +;
 0.20724,  1.04209  =>  -;
 0.00004, -1.00000  =>  +;
-0.00004,  1.00000  =>  -;
 0.18293, -0.91948  =>  +;
-0.18293,  0.91948  =>  -;
 0.33488, -0.80838  =>  +;
-0.33488,  0.80838  =>  -;
 0.45143, -0.67555  =>  +;
-0.45143,  0.67555  =>  -;
 0.53035, -0.53031  =>  +;
-0.53035,  0.53031  =>  -;
 0.57165, -0.38193  =>  +;
-0.57165,  0.38193  =>  -;
 0.57744, -0.23915  =>  +;
-0.57744,  0.23915  =>  -;
 0.55170, -0.10971  =>  +;
-0.55170,  0.10971  =>  -;
 0.50000,  0.00002  =>  +;
-0.50000, -0.00002  =>  -;

$TEST

 6.50000,  0.00000  =>  +;
-6.50000, -0.00000  =>  -;
 6.31380,  1.25590  =>  +;
-6.31380, -1.25590  =>  -;
 5.88973,  2.43961  =>  +;
-5.88973, -2.43961  =>  -;
 5.24865,  3.50704  =>  +;
-5.24865, -3.50704  =>  -;
 4.41941,  4.41943  =>  +;
-4.41941, -4.41943  =>  -;
 3.43758,  5.14473  =>  +;
-3.43758, -5.14473  =>  -;
 2.34392,  5.65877  =>  +;
-2.34392, -5.65877  =>  -;
 1.18272,  5.94601  =>  +;
-1.18272, -5.94601  =>  -;
-0.00002,  6.00000  =>  +;
 0.00002, -6.00000  =>  -;
-1.15837,  5.82341  =>  +;
 1.15837, -5.82341  =>  -;
-2.24829,  5.42778  =>  +;
 2.24829, -5.42778  =>  -;
-3.22928,  4.83290  =>  +;
 3.22928, -4.83290  =>  -;
-4.06589,  4.06584  =>  +;
 4.06589, -4.06584  =>  -;
-4.72900,  3.15978  =>  +;
 4.72900, -3.15978  =>  -;
-5.19684,  2.15256  =>  +;
 5.19684, -2.15256  =>  -;
-5.45563,  1.08515  =>  +;
 5.45563, -1.08515  =>  -;
-5.50000, -0.00004  =>  +;
 5.50000,  0.00004  =>  -;
-5.33301, -1.06085  =>  +;
 5.33301,  1.06085  =>  -;
-4.96584, -2.05696  =>  +;
 4.96584,  2.05696  =>  -;
-4.41716, -2.95151  =>  +;
 4.41716,  2.95151  =>  -;
-3.71228, -3.71234  =>  +;
 3.71228,  3.71234  =>  -;
-2.88198, -4.31328  =>  +;
 2.88198,  4.31328  =>  -;
-1.96120, -4.73490  =>  +;
 1.96120,  4.73490  =>  -;
-0.98759, -4.96524  =>  +;
 0.98759,  4.96524  =>  -;
 0.00006, -5.00000  =>  +;
-0.00006,  5.00000  =>  -;
 0.96331, -4.84262  =>  +;
-0.96331,  4.84262  =>  -;
 1.86564, -4.50389  =>  +;
-1.86564,  4.50389  =>  -;
 2.67373, -4.00141  =>  +;
-2.67373,  4.00141  =>  -;
 3.35880, -3.35871  =>  +;
-3.35880,  3.35871  =>  -;
 3.89755, -2.60418  =>  +;
-3.89755,  2.60418  =>  -;
 4.27297, -1.76985  =>  +;
-4.27297,  1.76985  =>  -;
 4.47485, -0.89004  =>  +;
-4.47485,  0.89004  =>  -;
 4.50000,  0.00007  =>  +;
-4.50000, -0.00007  =>  -;
 4.35222,  0.86578  =>  +;
-4.35222, -0.86578  =>  -;
 4.04195,  1.67430  =>  +;
-4.04195, -1.67430  =>  -;
 3.58567,  2.39595  =>  +;
-3.58567, -2.39595  =>  -;
 3.00515,  3.00525  =>  +;
-3.00515, -3.00525  =>  -;
 2.32639,  3.48182  =>  +;
-2.32639, -3.48182  =>  -;
 1.57850,  3.81103  =>  +;
-1.57850, -3.81103  =>  -;
 0.79248,  3.98445  =>  +;
-0.79248, -3.98445  =>  -;
-0.00007,  4.00000  =>  +;
 0.00007, -4.00000  =>  -;
-0.76824,  3.86183  =>  +;
 0.76824, -3.86183  =>  -;
-1.48297,  3.58000  =>  +;
 1.48297, -3.58000  =>  -;
-2.11817,  3.16994  =>  +;
 2.11817, -3.16994  =>  -;
-2.65170,  2.65160  =>  +;
 2.65170, -2.65160  =>  -;
-3.06609,  2.04860  =>  +;
 3.06609, -2.04860  =>  -;
-3.34909,  1.38716  =>  +;
 3.34909, -1.38716  =>  -;
-3.49406,  0.69493  =>  +;
 3.49406, -0.69493  =>  -;
