AT,V,AP,RH,PE
0.234161197227,0.410661639921,0.288100738966,0.902840565342,472.63
0.298261936055,0.350339162401,0.656127161247,0.745662434264,474.48
0.473910510712,0.461639644507,0.428167946909,0.615624573364,450.54
0.563291468312,0.691890296984,0.564229566055,0.457799709427,445.36
0.574328813469,0.710089246607,0.546038151374,0.653320127266,444.85
0.183064558765,0.441749461158,0.622038643057,0.658122172092,485.21
0.206389698357,0.393094468458,0.719172127545,0.512703350626,478.21
0.3143919533,0.384933978834,0.835773547706,0.524530186738,458.85
0.537250428955,0.728538855192,0.701754340492,0.765965288005,444.19
0.746423919811,0.69927312049,0.592443573124,0.134452784816,444.0
0.280027477825,0.350773270557,0.7994190149,0.589300154115,471.87
0.802595092291,0.839960627133,0.400639317532,0.0682846410931,429.41
0.614913689984,0.793372425073,0.646984168412,0.469239104145,449.1
0.339954262334,0.555981656902,0.86533557513,0.564093420308,461.16
0.364294946612,0.454594296739,0.737274482742,0.687431748346,462.42
0.543891923149,0.533894945118,0.460127569531,0.714385057537,444.6
0.12287031192,0.335912631265,0.597886228517,0.762239127755,491.54
0.496738712454,0.501043065192,0.577680488327,0.618042471885,453.62
0.510777389112,0.827768001712,0.543841376268,0.524981517639,443.17
0.797741450011,0.863350737474,0.513017830313,0.21690744248,429.56
0.211446813628,0.609721742364,0.775011953251,0.533587590423,473.09
0.730819720995,0.838643251719,0.35953362193,0.496716062707,431.27
0.291992395879,0.393094468458,0.67290775071,0.572339167794,469.48
0.634593680379,0.80260765358,0.627847166202,0.122355788269,442.99
0.302629466311,0.401605108908,0.744416643928,0.49612794726,461.54
0.56300134935,0.713566715401,0.563747104741,0.692004611977,446.2
0.802595092291,0.840355466486,0.443057626816,0.450990397713,428.27
0.704811118596,0.862580769925,0.580548364975,0.391660483468,435.36
0.811706605495,0.850431151448,0.47854492309,0.255627956244,442.07
0.796528674387,0.87292002596,0.357340583652,0.293887310412,428.79
0.307548915181,0.352941136261,0.648129851158,0.619495197064,472.17
